,fold,p.adj
TRPC3,-2.11831008224742,4.42846685264958e-19
CXCL5,-3.1290598492466,0.00294215596769735
KCNA5,-3.29335310931567,3.42324166936971e-10
HSD17B13,-3.37940004635165,2.55358351529194e-09
CABYR,3.38378055016298,3.28798418898134e-06
CCL21,-2.15000276937129,3.32593208783015e-05
PIF1,2.62282802177711,2.43821103824927e-13
C1orf167,-3.89600722206257,1.59918969622206e-20
TLR7,-2.06917798375511,6.76243493811891e-14
FAM184A,-3.17104494042007,7.10445004150261e-25
ESCO2,3.14357362659999,1.97101719147823e-18
NAPSA,-6.32282242847172,2.58746837499292e-33
FAM150B,-3.14177212681141,8.96467483607435e-11
FCGR1B,-2.22782119939523,1.11547137099654e-18
PRG4,-5.05562257706482,0.0104769667293892
DEPDC1,4.06955805288436,1.42334726353358e-24
ALG1L,3.90136889259687,9.26877852590536e-10
MGLL,-2.65120068204763,6.0342201177589e-33
UCK2,2.33579959949912,7.26533570969802e-19
FAM83D,3.49720666293298,2.13788953893172e-13
MS4A8,-4.67535002634528,3.88468933446328e-05
CD68,-2.210600150096,2.88153328250868e-15
LHX5,2.99130342881186,7.37303841747692e-07
IGF2BP3,3.3830226859444,1.27483206415626e-12
SMAD6,-2.89040285811517,1.00080336658002e-10
KCNAB1,-2.0968828096337,1.727227331784e-10
GGTLC2,-4.34925504053042,5.42344343963755e-12
DSCAML1,-2.03037188298321,5.34740402504043e-09
C11orf96,-3.09620397883645,5.63530741226971e-10
TRIM71,-2.52346044181954,7.0513286510464e-05
ICAM4,-3.32717401728971,2.38261896876364e-14
SULT1A2,-3.87899323589045,3.99773754538003e-29
IRAK3,-2.05601168917768,4.85530873785761e-17
ZIC5,3.61860787426841,4.70100347910121e-06
RASGRP2,-2.71319590968581,1.97101719147823e-18
ZMYND12,-2.14738364211203,2.69036342299338e-12
DLL4,-2.20399868426251,2.67936013238506e-09
SLC24A2,2.20744539939846,1.22960225444801e-07
CENPK,2.32059141576249,2.91352666784801e-12
P2RY13,-2.38094471233206,1.83917053501444e-20
GATA2,-2.67697517077816,3.27166705782969e-08
SIX2,2.91219505177568,0.00010697146679394
APOH,-5.51515820710914,2.03309855659646e-12
FFAR4,-3.8066414938738,3.12269827239611e-15
C11orf16,-2.90174383120707,0.000394991844814364
SLC16A4,-2.58539374825397,1.72955606057615e-13
C2orf73,-2.75792466897628,2.1702001668135e-05
GZMM,-2.19056400026895,6.73522948328699e-13
PTCRA,-3.45388316817514,1.12345787944476e-22
NPW,2.14844620130774,0.000209749340034892
NR2F1,-2.32979186768064,2.01777108609226e-18
TM4SF18,-2.21544118006924,2.03292862210652e-08
CD36,-3.25120659314642,4.3153621197338e-20
TSPAN19,-3.33616082716695,0.000106033806449357
KLRF1,-2.80047854756426,1.13680406675352e-12
PITX1,5.90148026257998,4.66780219070564e-10
DNMT3B,2.18179004620514,0.00247764773107305
KCNK9,2.21887946655491,4.3771628808117e-05
IL36G,5.25822368884851,4.91338327725307e-06
AKR1B15,4.9030083716991,0.0018671635583197
C1QTNF6,2.12880011568652,8.52263674102446e-07
CCL14,-4.44817011256676,1.72073718981873e-11
FAM189A1,-2.83772229993814,1.45746779748821e-16
PGF,2.08379824079593,0.00108326421735777
C9orf24,-3.89628801627281,6.58753062059279e-06
PARM1,-2.49639325501159,4.85089847709822e-07
ALPL,-3.25359826765345,2.88600510242199e-18
TRPV3,2.03253694442206,3.59697729970356e-06
SNURF,-2.45989598777183,3.19832936549346e-14
METTL7A,-2.53399726073388,3.582101285342e-25
AGRP,-4.78567977523395,2.69280993732659e-14
OSCAR,-3.15921683591632,1.00678334667624e-25
CCDC178,-2.37584185642636,0.000427800234230118
FERMT1,3.98878613242238,3.07508886566373e-16
CCDC108,-3.81537391163079,5.56801055776649e-05
TNNT1,2.67832075270454,2.82409199718314e-07
HRCT1,-3.24533120827913,1.50321737047704e-11
PDK4,-4.62738093671495,3.87423712117014e-13
TMEM212,-3.30680071453738,5.46484772185141e-05
DMRT1,2.21773746638733,0.0286470912616359
HHATL,-2.50172945634982,0.000540719571359564
PPP1R16B,-2.46136536360815,6.87128314898526e-15
CSF3,-4.70476224827816,0.000110902046406672
SERPINB2,2.74606087523472,0.0408701508419128
PILRA,-2.43619536106913,1.31828758691449e-24
MARC2,-2.08839873729047,3.19268107467766e-37
SLIT2,-2.51481558157052,4.3690728078135e-17
PLEK2,2.38899675908441,1.23612879765738e-06
AHNAK2,2.31060063904955,2.08266220432927e-09
SELP,-3.53904911395135,3.90280250375738e-18
FGD2,-2.3183900416337,8.43350102499188e-15
GPT2,2.28199128828172,3.19699972700134e-15
NEK5,-2.39580867652392,0.00017544121842551
GPC3,-2.02320513820152,0.0114196652692666
OTC,-3.39540749899491,6.07184776701133e-09
C6orf118,-3.72668630299189,0.000307187106881176
USH1G,3.96106726307156,1.22971957609227e-07
TGM5,2.87367210338271,0.00043989482019857
CALML3,7.27541344499446,3.65837460421049e-08
CADM1,-2.82960809806876,5.09401220523767e-32
DUOX1,-2.43600741768436,1.00800207655892e-18
FLT4,-2.41801721009688,1.29987153992655e-18
MAK,-2.25416346593061,1.6927412811142e-09
ADRA1B,-2.68169706670091,1.37015729588201e-11
LIPN,-2.21012949529421,1.96340171264494e-06
ABCC6,-3.1715387451051,4.67421806461003e-35
WIF1,-6.14825670937684,1.34032046895386e-16
TNXB,-5.04480160544181,3.0881277963904e-20
MSI1,2.32138530919543,2.82120529801243e-06
DAAM2,-2.5531941392331,6.37687289202787e-27
CXCR2,-2.82863491394425,2.11745897695936e-08
C5AR1,-2.49959780271822,1.42539754602642e-16
JPH4,-3.27571759986506,2.86253868984424e-09
BARX2,3.53973724962544,5.1163362066813e-09
TP63,4.24505257693953,3.35559712142106e-11
LAD1,2.28520202310928,2.38184792893675e-13
ID4,-2.39917689919412,0.00872432879382135
CASC5,3.10385119937341,4.82065088005916e-21
KNDC1,-3.25077208944044,1.6157467484029e-18
LILRB3,-2.00261291032057,7.36591540703167e-14
VTCN1,2.79224230107793,0.000825659738823751
CASP12,-3.78441920792072,2.00612687069454e-15
SERPIND1,-3.47997581358848,2.09771537512189e-05
CSAG1,2.87871213266652,0.0022625854916818
TPSAB1,-2.8761987634223,1.9498307104344e-16
HOXA11,3.14774781212669,0.000175654312089534
ATP11A,-2.21999573663691,3.57293736026748e-26
C4BPB,-3.12577508095399,0.0493798805862835
RGCC,-3.6995998370926,1.38334913070681e-26
SOGA3,-2.7112675739703,9.46245212760837e-14
RGN,-3.5210135840023,7.97629768588386e-34
KRT75,4.18027960995375,0.0362238041735322
C1QTNF2,-2.69191650562638,1.3750099263989e-22
HBA1,-5.38900336658611,1.07209124579977e-07
